session,SPXL~FAS,SPXL~VXX,FAS~VXX
2020-10-16,0.7727412677996242,-0.5010793280616596,-0.3368999996756119
2020-10-19,0.7792856499092947,-0.5182651232484761,-0.35843062054845204
2020-10-20,0.7814976732182533,-0.5142691990131906,-0.35865325587576746
2020-10-21,0.7841320577177163,-0.512320677968574,-0.35526410996197816
2020-10-22,0.7766807761888578,-0.5111858128042976,-0.35765934941099436
2020-10-23,0.7783526086906604,-0.5082832924120794,-0.3460712446180198
2020-10-26,0.793431236399226,-0.5383354726483894,-0.40235578978942843
2020-10-27,0.7846793057234872,-0.5404548826518345,-0.3981837875617499
2020-10-28,0.797886409471692,-0.6177519713269541,-0.4582684395356327
2020-10-29,0.7995118533030591,-0.619540786465734,-0.45825487894282324
2020-10-30,0.7903764082105679,-0.6235403175589012,-0.4505911126615531
2020-11-02,0.798039307203075,-0.6261103446981697,-0.4557419920022258
2020-11-03,0.8050981423436546,-0.6378786538344753,-0.47762858866997443
2020-11-04,0.7604931168669953,-0.6555071001422824,-0.43207540006081446
2020-11-05,0.7747136797110535,-0.6456139030885145,-0.436056524409819
2020-11-06,0.7733817421936401,-0.6311980679039176,-0.4121812706684036
2020-11-09,0.7052136199944009,-0.6328025148987202,-0.376929094618899
2020-11-10,0.7032585046722405,-0.629371049132017,-0.38660598178588224
2020-11-11,0.6998215054508429,-0.6305289643665962,-0.38469114985805397
2020-11-12,0.7028918622652782,-0.6335902569933849,-0.40222760884378145
2020-11-13,0.7078241734669385,-0.6403894518986438,-0.41454188120579405
2020-11-16,0.7132874502247839,-0.64260109878248,-0.4166194631408433
2020-11-17,0.7106708621865591,-0.6415966025975598,-0.41861391292463745
2020-11-18,0.7130502718950325,-0.64685128038049,-0.4242269330177969
2020-11-19,0.7194179834655743,-0.6596154270804615,-0.4234003101491075
2020-11-20,0.7229827606684232,-0.664356790132359,-0.4385084451390746
2020-11-23,0.7223041604856144,-0.66533774532271,-0.4375169831820527
2020-11-24,0.7292461735875231,-0.6660394667324968,-0.4233042175003737
2020-11-25,0.7305158955654819,-0.6711307389959351,-0.4175996286987768
2020-11-27,0.7251887548646715,-0.6913376491964821,-0.4331928552440499
2020-11-30,0.7185704350181432,-0.6374222884353651,-0.3934262945302883
2020-12-01,0.7210660487124344,-0.6771942065259465,-0.40960018876992693
2020-12-02,0.704601656525329,-0.7325681111377313,-0.43122127699447454
2020-12-03,0.702860505739942,-0.7245681708048745,-0.4238308175289688
2020-12-04,0.6975924234976708,-0.7292698569626649,-0.42108816122802173
2020-12-07,0.6977707751226548,-0.7459665123959077,-0.4332167317424756
2020-12-08,0.6925802230932517,-0.7453744973246411,-0.4283931079262719
2020-12-09,0.6947512938452987,-0.7507554251439056,-0.4278745354692812
2020-12-10,0.6982002795762854,-0.7514794390346852,-0.427901479980416
2020-12-11,0.6940512570144718,-0.759579991163993,-0.4441302242058453
2020-12-14,0.6934690483698778,-0.7673329421856405,-0.45001146170227946
2020-12-15,0.6899299077668596,-0.7675595714036887,-0.44602500883375507
2020-12-16,0.7081440970706979,-0.7724848820964892,-0.44058724841130387
2020-12-17,0.6920103179145577,-0.7618581355275474,-0.41634930118654306
2020-12-18,0.6942507517430709,-0.7638324425936093,-0.42183632981751956
2020-12-21,0.687748873375129,-0.7501374625843716,-0.3823117897990201
2020-12-22,0.6788447264600803,-0.7591970522052258,-0.3807073880561599
2020-12-23,0.6706031920997011,-0.7616776727347753,-0.3983807556126344
2020-12-24,0.6682758761940775,-0.7649283580952552,-0.3978907495096862
2020-12-28,0.6676976457714489,-0.7656370304692786,-0.3982814031757923
2020-12-29,0.680861598855681,-0.759555780614102,-0.4093298964253481
2020-12-30,0.6750492770003986,-0.7565387618067846,-0.4032683323734052
2020-12-31,0.6724212573521264,-0.7590003425779622,-0.3965919762275166
2021-01-04,0.6760095632239083,-0.7704190104550626,-0.4107290799531506
2021-01-05,0.6722845036825181,-0.769176009354931,-0.4037079257382888
