date,atm_iv_pct,underlying,dte,n
2025-07-07,90.8325,24.970000000000002,11,4
2025-07-08,88.6225,26.37,10,4
2025-07-09,85.68,26.650000000000002,9,4
2025-07-10,81.9875,27.37,8,4
2025-07-11,77.415,27.290000000000003,7,4
2025-07-14,86.235,26.5,11,4
2025-07-15,87.53999999999999,27.290000000000003,10,4
2025-07-16,89.015,27.03,9,2
2025-07-17,82.515,27.32,8,4
2025-07-18,76.245,27.330000000000002,7,4
2025-07-21,91.305,27.5,11,4
2025-07-22,95.48500000000001,26.32,10,6
2025-07-23,90.60166666666667,25.78,9,6
2025-07-24,87.35833333333333,25.62,8,6
2025-07-25,77.08500000000001,25.6,7,6
2025-07-28,81.83166666666666,26.880000000000003,11,6
2025-07-29,86.42166666666667,27.03,10,6
2025-07-30,89.56666666666668,27.610000000000003,9,6
2025-07-31,97.88666666666668,24.98,8,6
2025-08-01,99.88000000000001,24.080000000000002,7,6
2025-08-04,86.07000000000001,25.0,11,6
2025-08-05,91.85166666666666,24.52,10,6
2025-08-06,85.58166666666666,23.990000000000002,9,6
2025-08-07,82.455,25.0,8,6
2025-08-08,69.88333333333333,25.71,7,6
2025-08-11,80.52333333333334,25.610000000000003,11,6
2025-08-12,74.02833333333334,28.0,10,6
2025-08-13,73.13250000000001,29.270000000000003,9,8
2025-08-14,70.22833333333334,29.42,8,6
2025-08-15,69.42666666666666,27.37,7,6
2025-08-18,77.73833333333334,27.53,11,6
2025-08-19,84.4625,26.240000000000002,10,8
2025-08-20,85.07166666666667,25.8,9,6
2025-08-21,91.08999999999999,25.35,8,6
2025-08-22,73.72500000000001,27.450000000000003,7,6
2025-08-25,69.3375,27.3,11,8
2025-08-26,90.46833333333333,27.94,10,6
2025-08-27,90.11875,28.18,9,8
2025-08-28,64.67333333333333,28.53,8,6
2025-08-29,60.97,26.040000000000003,7,6
2025-09-02,81.26124999999999,25.25,10,8
2025-09-03,79.11500000000001,24.91,9,6
2025-09-04,76.30333333333334,25.650000000000002,8,6
2025-09-05,65.86833333333334,26.450000000000003,7,6
